make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
Opel Insignia,Station wagon,23380,4900,101,Used,Other,1.598,DIESEL,7,1,8,2018.0,Blue,5.0,5,Automatic,5.1,6.5,114
Renault Espace,Van,29700,6900,165,Used,Full leather,1.798,BENZINE,23,2,17,2018.0,White,5.0,7,Automatic,6.8,8.7,153
Renault Clio,Sedans,18490,10564,164,Used,"Cloth, Black",1.618,BENZINE,14,7,16,2018.0,Red,4.0,5,Automatic,5.9,7.6,140
Opel Corsa,Sedans,8300,53522,51,Used,Other,1.229,BENZINE,6,1,5,2017.0,Silver,4.0,5,Manual,5.4,6.7,124
Opel Insignia,Station wagon,39990,10788,121,Demonstration,"Full leather, Black",1.49,BENZINE,22,4,13,2019.0,Grey,5.0,5,Automatic,6.2,7.6,149
Opel Astra,Station wagon,6480,167322,81,Used,"Cloth, Grey",1.598,DIESEL,5,1,6,2016.0,Blue,5.0,5,Manual,3.7,4.0,95
Opel Insignia,Sedans,17989,15243,103,Used,"Cloth, Black",1.49,BENZINE,19,1,18,2017.0,Silver,4.0,5,Manual,5.7,7.3,135
Renault Clio,Compact,14400,26879,87,Used,"Cloth, Black",1.197,BENZINE,14,2,12,2018.0,Black,5.0,5,Automatic,5.4,6.8,120
Audi A1,Sedans,15834,23858,66,Used,"Cloth, Black",1.422,DIESEL,17,4,14,2018.0,Black,4.0,5,Manual,3.9,4.5,102
Opel Corsa,Compact,11190,10,51,Pre-registered,"Cloth, Black",1.229,BENZINE,4,1,12,2019.0,Blue,5.0,5,Manual,5.4,6.7,126
Opel Corsa,Compact,16440,10,66,Pre-registered,"Cloth, Black",1.398,BENZINE,15,3,14,2019.0,Silver,5.0,5,Automatic,6.0,7.8,140
Audi A3,Station wagon,21850,4500,85,Used,"Cloth, Black",0.999,BENZINE,15,1,13,2017.0,White,5.0,5,Automatic,4.8,5.7,110
Renault Clio,Sedans,6950,0,66,Pre-registered,Other,0.898,LPG,7,1,11,2019.0,Red,4.0,5,Manual,6.1,7.8,98
Opel Astra,Sedans,18338,0,81,New,Other,1.399,BENZINE,8,1,8,2019.0,White,4.0,5,Manual,5.4,7.0,125
