,Unnamed: 0,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
76,76,Audi A1,Compact,18880,30952,92,Used,_Black,1.395,BENZINE,16,4,14,2016.0,Black_,5,4,Automatic,5.2,6.7,123
77,77,Audi A1,Sedans,18880,33991,92,Used,"Full leather, Red",1.395,BENZINE,18,5,13,2016.0,White_,4,4,Automatic,5.2,6.7,112
78,78,Audi A1,Sedans,18870,35800,66,Used,_Black,1.422,DIESEL,16,3,13,2017.0,White_,4,4,Automatic,3.8,4.3,99
79,79,Audi A1,Sedans,18850,7672,85,Used,_Black,1.598,DIESEL,3,1,9,2018.0,Silver,4,4,Automatic,3.7,4.3,97
80,80,Audi A1,Sedans,18500,13406,85,Used,_Other,1.598,DIESEL,11,4,12,2018.0,Black_,4,5,Automatic,3.8,4.6,99
81,81,Audi A1,Compact,18870,8430,70,Used,_Black,0.999,BENZINE,15,4,11,2018.0,Blue_,5,4,Automatic,4.6,5.6,102
82,82,Audi A1,Compact,18497,40488,85,Used,_Black,1.598,DIESEL,19,4,15,2016.0,Red,5,5,Automatic,4.0,4.8,106
83,83,Audi A1,Compact,18490,24200,66,Used,_Black,1.422,DIESEL,14,1,13,2017.0,Grey_,5,4,Automatic,4.1,4.6,108
84,84,Audi A1,Compact,18490,26500,66,Used,_Black,1.422,DIESEL,17,5,15,2017.0,Brown_,5,5,Automatic,4.0,4.4,104
85,85,Audi A1,Compact,18490,58806,71,Used,_Black,0.999,BENZINE,14,1,11,2016.0,Black_,5,4,Automatic,4.4,5.4,103
86,86,Audi A1,Sedans,18500,39000,85,Used,_Other,1.598,DIESEL,6,2,10,2016.0,White_,4,4,Automatic,3.8,4.4,99
87,87,Audi A1,Sedans,18490,16700,92,Used,_Black,1.395,BENZINE,12,4,14,2017.0,Red,4,4,Automatic,5.1,6.3,117
88,88,Audi A1,Sedans,18490,41900,92,Used,_Black,1.395,BENZINE,17,6,13,2016.0,White_,4,4,Automatic,5.1,6.6,121
89,89,Audi A1,Compact,18480,15093,92,Used,_Black,1.395,BENZINE,15,2,13,2016.0,Black_,5,5,Automatic,4.9,6.2,112
90,90,Audi A1,Sedans,18480,5211,66,Used,_Black,1.422,DIESEL,16,2,10,2018.0,Red,4,5,Automatic,4.0,4.5,104
91,91,Audi A1,Compact,18470,12000,70,Used,_Black,0.999,BENZINE,14,4,11,2018.0,White_,5,4,Automatic,4.6,5.6,107
92,92,Audi A1,Compact,18444,50066,92,Used,_Grey,1.395,BENZINE,15,3,14,2016.0,Grey_,5,4,Automatic,4.9,6.2,112
93,93,Audi A1,Compact,18400,51484,71,Used,_Other,0.999,BENZINE,9,1,11,2017.0,Red,5,4,Automatic,4.4,5.4,103
94,94,Audi A1,Sedans,18400,14770,85,Employee's car,_Other,1.598,DIESEL,1,1,7,2018.0,Black_,4,4,Automatic,3.8,4.6,99
95,95,Audi A1,Sedans,18900,12415,85,Used,_Other,1.598,DIESEL,3,1,13,2018.0,Black_,4,5,Automatic,4.0,4.6,105
96,96,Audi A1,Sedans,18900,26064,85,Used,_Black,1.598,DIESEL,5,1,12,2018.0,Silver,4,4,Automatic,4.0,4.6,105
97,97,Audi A1,Sedans,18900,16500,85,Employee's car,_Black,1.598,DIESEL,9,5,14,2018.0,Black_,4,5,Automatic,4.0,4.6,105
98,98,Audi A1,Sedans,18900,9000,92,Used,_Black,1.395,BENZINE,4,2,13,2016.0,Black_,4,4,Automatic,4.9,6.2,112
99,99,Audi A1,Sedans,18900,12402,85,Used,_Other,1.598,DIESEL,3,1,13,2018.0,Black_,4,5,Automatic,4.0,4.6,105
100,100,Audi A1,Sedans,18900,14702,85,Used,_Other,1.598,DIESEL,3,1,13,2018.0,White_,4,5,Automatic,4.0,4.6,105
101,101,Audi A1,Sedans,18900,14523,85,Employee's car,_Black,1.598,DIESEL,2,1,8,2018.0,White_,4,4,Automatic,4.0,4.6,105
102,102,Audi A1,Sedans,18900,9082,85,Used,_Other,1.598,DIESEL,3,1,13,2018.0,Black_,4,5,Automatic,4.0,4.6,105
103,103,Audi A1,Sedans,18900,9580,85,Used,_Other,1.598,DIESEL,3,3,8,2018.0,Blue_,4,4,Automatic,3.5,4.3,92
104,104,Audi A1,Sedans,18900,10013,85,Used,_Other,1.598,DIESEL,3,3,8,2018.0,Blue_,4,4,Automatic,3.5,4.3,92
105,105,Audi A1,Sedans,18900,14878,85,Used,_Other,1.598,DIESEL,3,1,13,2018.0,Silver,4,5,Automatic,4.0,4.6,105
106,106,Audi A1,Sedans,18900,10273,85,Used,_Other,1.598,DIESEL,3,3,8,2018.0,Grey_,4,4,Automatic,3.5,4.3,92
107,107,Audi A1,Compact,18900,47500,71,Used,_Grey,0.999,BENZINE,17,2,12,2016.0,White_,5,4,Automatic,4.4,5.4,103
108,108,Audi A1,Sedans,18900,9466,85,Used,_Other,1.598,DIESEL,3,3,8,2018.0,Blue_,4,4,Automatic,3.5,4.3,92
109,109,Audi A1,Sedans,18900,18971,85,Used,_Black,1.598,DIESEL,3,1,10,2018.0,Silver,4,5,Automatic,3.7,4.3,97
110,110,Audi A1,Compact,18900,31877,51,Used,_Black,0.999,BENZINE,11,2,12,2018.0,White_,5,5,Automatic,4.5,5.4,103
111,111,Audi A1,Sedans,18900,9878,85,Used,_Other,1.598,DIESEL,3,3,8,2018.0,White_,4,4,Automatic,3.5,4.3,92
112,112,Audi A1,Compact,18900,17535,70,Used,_Black,0.999,BENZINE,16,3,15,2018.0,Black_,5,5,Automatic,4.6,5.6,107
113,113,Audi A1,Compact,18850,76264,92,Used,_Black,1.395,BENZINE,12,1,3,2016.0,Brown_,5,4,Automatic,4.9,6.2,112
114,114,Audi A1,Compact,18850,6695,70,Used,_Black,0.999,BENZINE,14,3,13,2018.0,Silver,5,5,Automatic,4.6,5.6,102
115,115,Audi A1,Sedans,18850,21275,92,Used,_Black,1.395,BENZINE,17,4,14,2016.0,Brown_,4,4,Automatic,4.9,6.2,112
116,116,Audi A1,Sedans,18850,12261,66,Used,_Other,1.422,DIESEL,6,1,10,2018.0,Blue_,4,5,Automatic,3.9,4.0,101
117,117,Audi A1,Sedans,18840,3620,70,Used,_Other,0.999,BENZINE,17,3,13,2018.0,Silver,4,5,Automatic,4.4,5.2,104
118,118,Audi A1,Sedans,18800,8330,85,Used,_Black,1.598,DIESEL,14,2,13,2018.0,Black_,4,4,Automatic,3.5,4.3,92
