,make_model,body_type,price,km,hp,Type,Upholstery,Displacement,Fuel,Comfort_Convenience,Extras,Safety_Security,First_Registration,Body_Color,door_numbers,seat_numbers,Gearing_Type,consumption_comb,consumption_city,co2_emission
1972,AudiA1,Compact,27380,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,White,5.0,5,Automatic,4.9,5.9,111
1973,AudiA1,Compact,27380,2998,85,Demonstration,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,White,5.0,5,Automatic,4.9,5.9,111
1974,AudiA1,Sedans,27370,9900,85,Employee'scar,Cloth-Grey,0.999,BENZINE,17,4,17,2019.0,Red,4.0,5,Automatic,4.8,5.9,110
1975,AudiA1,Sedans,27370,9900,85,Employee'scar,Cloth-Grey,0.999,BENZINE,16,4,17,2019.0,Blue,4.0,5,Automatic,4.8,5.9,110
1976,AudiA1,Sedans,27300,10,85,Pre-registered,Cloth-Black,0.999,BENZINE,16,5,19,2019.0,Grey,4.0,5,Automatic,4.8,5.8,108
1977,AudiA1,Sedans,27200,100,85,New,Cloth-Grey,0.999,BENZINE,2,1,10,2019.0,Silver,4.0,4,Automatic,4.4,5.4,111
1978,AudiA1,Compact,28380,0,110,New,Cloth-Grey,1.498,BENZINE,18,4,16,2019.0,White,5.0,5,Automatic,5.1,6.5,115
1979,AudiA1,Sedans,27290,201,85,Used,Other,0.999,BENZINE,12,1,11,2019.0,Blue,4.0,5,Automatic,4.8,5.9,108
1980,AudiA1,Compact,27980,0,85,New,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,Red,5.0,5,Automatic,4.9,5.9,111
1981,AudiA1,Compact,28390,0,85,New,Cloth-Other,0.999,BENZINE,15,3,16,2019.0,Green,5.0,5,Automatic,4.8,5.9,110
1982,AudiA1,Sedans,27777,222,85,Used,Other,0.999,BENZINE,10,1,12,2019.0,Grey,4.0,5,Automatic,4.8,5.9,108
1983,AudiA1,Sedans,27777,222,85,Used,Other,0.999,BENZINE,10,1,12,2019.0,Grey,4.0,5,Automatic,4.8,5.9,108
1984,AudiA1,Compact,27750,0,85,New,Cloth-Grey,0.999,BENZINE,15,3,12,2019.0,Grey,5.0,5,Automatic,4.8,5.9,110
1985,AudiA1,Sedans,27777,222,85,Used,Other,0.999,BENZINE,10,1,12,2019.0,Grey,4.0,5,Automatic,4.8,5.9,108
1986,AudiA1,Compact,27750,0,85,New,Cloth-Black,0.999,BENZINE,13,3,17,2019.0,White,5.0,5,Automatic,4.9,5.9,111
1987,AudiA1,Sedans,27200,100,85,Pre-registered,Cloth-Other,0.999,BENZINE,10,1,12,2019.0,White,4.0,5,Automatic,4.8,5.8,108
1988,AudiA1,Sedans,27200,100,85,Pre-registered,Cloth-Other,0.999,BENZINE,13,1,14,2019.0,White,4.0,5,Automatic,4.8,5.8,108
1989,AudiA1,Sedans,27200,100,85,Employee'scar,Cloth-Grey,0.999,BENZINE,3,1,9,2019.0,Blue,4.0,5,Automatic,4.8,5.8,108
1990,AudiA1,Compact,27175,0,85,New,Cloth-Black,0.999,BENZINE,13,1,10,2019.0,Red,5.0,5,Automatic,4.8,5.8,108
1991,AudiA1,Compact,27175,0,85,New,Cloth-Black,0.999,BENZINE,13,1,10,2019.0,Red,5.0,5,Automatic,4.8,5.8,108
1992,AudiA1,Compact,27040,0,85,New,Cloth-Black,0.999,BENZINE,16,3,13,2019.0,White,5.0,4,Automatic,4.8,5.9,110
1993,AudiA1,Compact,28380,0,110,New,Cloth-Grey,1.498,BENZINE,18,4,17,2019.0,Black,5.0,5,Automatic,5.1,6.5,115
1994,AudiA1,Sedans,27200,100,85,Employee'scar,Cloth-Grey,0.999,BENZINE,3,1,9,2019.0,Blue,4.0,5,Automatic,4.8,5.8,108
1995,AudiA1,Sedans,26990,9000,85,Demonstration,Cloth-Black,0.999,BENZINE,15,3,17,2019.0,Black,4.0,5,Automatic,4.8,5.8,108
1996,AudiA1,Compact,26990,0,85,New,Cloth-Black,0.999,BENZINE,14,2,17,2019.0,Black,5.0,5,Automatic,4.8,5.9,110
1997,AudiA1,Sedans,27000,900,85,Employee'scar,Cloth-Black,0.999,BENZINE,16,4,21,2019.0,Red,4.0,5,Automatic,4.8,5.8,108
1998,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,White,5.0,5,Automatic,4.9,5.9,111
1999,AudiA1,Sedans,26990,2000,85,Used,Other,0.999,BENZINE,10,1,12,2019.0,Grey,4.0,5,Automatic,4.8,5.9,108
2000,AudiA1,Sedans,27720,2257,85,Used,Other,0.999,BENZINE,12,2,11,2019.0,White,4.0,5,Automatic,4.8,5.9,108
2001,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,Grey,5.0,5,Automatic,4.9,5.9,111
2002,AudiA1,Compact,26980,0,85,New,Cloth-Grey,0.999,BENZINE,14,3,17,2019.0,White,5.0,5,Automatic,4.9,5.9,111
2003,AudiA1,Sedans,27000,1,85,Pre-registered,Other,0.999,BENZINE,2,1,3,2019.0,White,4.0,5,Automatic,4.8,5.8,108
